Longitude	Latitude	Time	Elevation_m
-73.945221	45.419489	13:19:51.374286	9.11
-73.945219	45.419449	13:19:53.375401	9.023
-73.945215	45.419184	13:20:3.376972	8.573
-73.945214	45.419506	13:19:50.375229	9.155
-73.945212	45.419148	13:20:4.375030	8.446
-73.945211	45.419217	13:20:2.377915	8.647
-73.945206	45.419112	13:20:5.377087	8.317
-73.9452	45.419074	13:20:6.376144	8.183
-73.945196	45.419379	13:19:56.361571	8.998
-73.945191	45.419356	13:19:57.362628	8.988
-73.945187	45.419332	13:19:58.376687	8.978
-73.945184	45.418998	13:20:8.376258	7.911
-73.945177	45.418959	13:20:9.374316	7.806
-73.945177	45.419527	13:19:48.361114	9.19
-73.945166	45.418917	13:20:10.370372	7.075
-73.945135	45.418743	13:20:14.377602	7.315
-73.945123	45.419525	13:19:46.358999	9.051
-73.945112	45.418649	13:20:16.372716	6.993
-73.945076	45.418465	13:20:20.356944	7.506
-73.945063	45.418377	13:20:22.358058	7.991
-73.945039	45.4193	13:19:36.377428	8.954
-73.945038	45.419232	13:19:34.359313	8.964
-73.945035	45.419197	13:19:33.374257	8.878
-73.945033	45.418247	13:20:25.373230	8.454
-73.945032	45.419162	13:19:32.360198	8.861
-73.945032	45.419366	13:19:38.374542	9.124
-73.945031	45.419423	13:19:40.375657	9.037
-73.94503	45.419395	13:19:39.360599	9.097
-73.945029	45.419477	13:19:42.357770	9.11
-73.945025	45.418201	13:20:26.375288	8.976
-73.945018	45.419044	13:19:29.374028	8.591
-73.945014	45.418152	13:20:27.372345	9.017
-73.945008	45.418961	13:19:27.372913	8.377
-73.945003	45.418102	13:20:28.375402	9.033
-73.945002	45.418917	13:19:26.374856	8.231
-73.944994	45.418869	13:19:25.374799	8.098
-73.944976	45.418725	13:19:22.374627	7.95
-73.944971	45.418675	13:19:21.360569	7.936
-73.944966	45.418625	13:19:20.360512	7.956
-73.944961	45.419425	13:15:16.369556	8.526
-73.944951	45.417898	13:20:32.376631	9.159
-73.944951	45.419449	13:15:15.367499	7.552
-73.944949	45.418415	13:19:16.360283	8.782
-73.944946	45.418363	13:19:15.364226	8.766
-73.944945	45.419473	13:15:14.367442	7.635
-73.944941	45.419351	13:15:18.381671	9.003
-73.944939	45.417845	13:20:33.376688	9.098
-73.944938	45.418313	13:19:14.364169	8.962
-73.94493	45.418264	13:19:13.365112	9.026
-73.944928	45.417792	13:20:34.375745	9.01
-73.944922	45.419272	13:15:20.369785	8.875
-73.944911	45.418163	13:19:11.363997	9.04
-73.94491	45.419231	13:15:21.371843	8.824
-73.944907	45.417687	13:20:36.375860	9.012
-73.944902	45.419188	13:15:22.367899	8.792
-73.9449	45.418112	13:19:10.363940	9.102
-73.9449	45.419501	13:15:12.366328	8.188
-73.944889	45.41806	13:19:9.365883	9.171
-73.944888	45.417587	13:20:38.377974	9.019
-73.944886	45.419019	13:15:26.387129	8.485
-73.944881	45.41906	13:15:25.382072	6.822
-73.94488	45.417537	13:20:39.377031	9.088
-73.944879	45.418974	13:15:27.367186	6.782
-73.944877	45.418011	13:19:8.364826	9.24
-73.944873	45.419499	13:15:11.366271	8.406
-73.944872	45.417488	13:20:40.375089	9.092
-73.944872	45.418885	13:15:29.366300	6.545
-73.944861	45.418793	13:15:31.366415	6.291
-73.944857	45.418747	13:15:32.366471	6.26
-73.944856	45.418654	13:15:34.382587	7.547
-73.944849	45.417338	13:20:43.377260	8.965
-73.944848	45.419488	13:15:10.368213	8.365
-73.944841	45.417287	13:20:44.377317	8.865
-73.944836	45.418469	13:15:38.382816	8.016
-73.944834	45.417237	13:20:45.376375	8.779
-73.944833	45.417814	13:19:4.376598	9.179
-73.944829	45.419468	13:15:9.369156	8.289
-73.944828	45.418425	13:15:39.384873	8.288
-73.944823	45.419443	13:15:8.369099	8.252
-73.944822	45.417765	13:19:3.379541	9.174
-73.944821	45.419376	13:15:6.365984	8.197
-73.94482	45.418382	13:15:40.383930	8.497
-73.944815	45.419295	13:15:4.365870	8.062
-73.944811	45.417089	13:20:48.375546	8.166
-73.944811	45.419254	13:15:3.368813	8.074
-73.944808	45.417718	13:19:2.375483	9.446
-73.944806	45.41921	13:15:2.367756	8.135
-73.944804	45.418296	13:15:42.382044	8.764
-73.944799	45.419165	13:15:1.367699	8.16
-73.94479	45.416992	13:20:50.376661	7.932
-73.94479	45.418207	13:15:44.385159	8.889
-73.944783	45.418163	13:15:45.383216	8.935
-73.944779	45.416945	13:20:51.375718	7.878
-73.944775	45.41903	13:14:58.366527	8.236
-73.94477	45.419402	13:10:33.380371	9.087
-73.944769	45.416898	13:20:52.375775	7.861
-73.944768	45.418076	13:15:47.381330	7.939
-73.944768	45.418983	13:14:57.367470	8.258
-73.944766	45.417515	13:18:58.363254	9.239
-73.944766	45.418034	13:15:48.366387	7.98
-73.944765	45.41942	13:10:32.379313	9.089
-73.944764	45.419355	13:10:35.388485	8.453
-73.944761	45.417991	13:15:49.366444	8.001
-73.944757	45.419328	13:10:36.375542	8.432
-73.944756	45.417465	13:18:57.364197	9.217
-73.944756	45.417947	13:15:50.365501	8.007
-73.944753	45.419435	13:10:31.379256	9.112
-73.94475	45.419297	13:10:37.375599	8.377
-73.944748	45.418838	13:14:54.367298	7.887
-73.944745	45.417416	13:18:56.365139	9.187
-73.944741	45.419264	13:10:38.376657	8.313
-73.944738	45.416759	13:20:55.375946	7.831
-73.944738	45.417859	13:15:52.381616	7.981
-73.944736	45.41874	13:14:52.366184	7.8
