"Info";"Date";"Time";"TimeStamp";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"System: New System";"2020-11-30";"13:56:39.997";"0";"10000";"1534";"597772"
"Log page: New basic log page (0)";"2020-11-30";"13:56:40.092";"95";"10000";"1535";"557382"
"";"2020-11-30";"13:56:40.192";"195";"10000";"1534";"613928"
"";"2020-11-30";"13:56:40.294";"297";"10000";"1527";"605850"
"";"2020-11-30";"13:56:40.396";"399";"10000";"1531";"581616"
"";"2020-11-30";"13:56:40.498";"501";"10000";"1534";"622006"
"";"2020-11-30";"13:56:40.598";"601";"10000";"1515";"573538"
"";"2020-11-30";"13:56:40.700";"703";"10000";"1506";"597772"
"";"2020-11-30";"13:56:40.801";"804";"10000";"1503";"605850"
"";"2020-11-30";"13:56:40.901";"904";"10000";"1524";"589694"
"";"2020-11-30";"13:56:41.002";"1005";"10000";"1533";"613928"
"";"2020-11-30";"13:56:41.102";"1105";"10000";"1536";"557382"
"";"2020-11-30";"13:56:41.204";"1207";"10000";"1532";"605850"
"";"2020-11-30";"13:56:41.304";"1307";"10000";"1526";"605850"
"";"2020-11-30";"13:56:41.406";"1409";"10000";"1532";"557382"
"";"2020-11-30";"13:56:41.507";"1510";"10000";"1533";"613928"
"";"2020-11-30";"13:56:41.608";"1611";"10000";"1521";"589694"
"";"2020-11-30";"13:56:41.709";"1712";"10000";"1518";"581616"
"";"2020-11-30";"13:56:41.809";"1812";"10000";"1529";"613928"
"";"2020-11-30";"13:56:41.910";"1913";"10000";"1538";"605850"
"";"2020-11-30";"13:56:42.012";"2015";"10000";"1529";"597772"
"";"2020-11-30";"13:56:42.111";"2114";"10000";"1529";"581616"
"";"2020-11-30";"13:56:42.214";"2217";"10000";"1513";"605850"
"";"2020-11-30";"13:56:42.315";"2318";"10000";"1521";"597772"
"";"2020-11-30";"13:56:42.415";"2418";"10000";"1530";"573538"
"";"2020-11-30";"13:56:42.517";"2520";"10000";"1515";"613928"
"";"2020-11-30";"13:56:42.617";"2620";"10000";"1519";"597772"
"";"2020-11-30";"13:56:42.717";"2720";"10000";"1531";"557382"
"";"2020-11-30";"13:56:42.819";"2822";"10000";"1530";"613928"
"";"2020-11-30";"13:56:42.920";"2923";"10000";"1535";"605850"
"";"2020-11-30";"13:56:43.022";"3025";"10000";"1536";"597772"
"";"2020-11-30";"13:56:43.122";"3125";"10000";"1534";"597772"
"";"2020-11-30";"13:56:43.223";"3226";"10000";"1535";"597772"
"";"2020-11-30";"13:56:43.322";"3325";"10000";"1533";"613928"
"";"2020-11-30";"13:56:43.424";"3427";"10000";"1520";"589694"
"";"2020-11-30";"13:56:43.524";"3527";"10000";"1522";"613928"
"";"2020-11-30";"13:56:43.626";"3629";"10000";"1526";"597772"
"";"2020-11-30";"13:56:43.726";"3729";"10000";"1533";"573538"
"";"2020-11-30";"13:56:43.828";"3831";"10000";"1539";"646240"
"";"2020-11-30";"13:56:43.929";"3932";"10000";"1547";"581616"
"";"2020-11-30";"13:56:44.029";"4032";"10000";"1542";"581616"
"";"2020-11-30";"13:56:44.130";"4133";"10000";"1535";"589694"
"";"2020-11-30";"13:56:44.231";"4234";"10000";"1544";"597772"
"";"2020-11-30";"13:56:44.333";"4336";"10000";"1540";"589694"
"";"2020-11-30";"13:56:44.433";"4436";"10000";"1535";"573538"
"";"2020-11-30";"13:56:44.534";"4537";"10000";"1530";"622006"
"";"2020-11-30";"13:56:44.635";"4638";"10000";"1523";"589694"
"";"2020-11-30";"13:56:44.736";"4739";"10000";"1514";"581616"
"";"2020-11-30";"13:56:44.837";"4840";"10000";"1520";"630084"
"";"2020-11-30";"13:56:44.938";"4941";"10000";"1514";"581616"
"";"2020-11-30";"13:56:45.040";"5043";"10000";"1528";"605850"
"";"2020-11-30";"13:56:45.141";"5144";"10000";"1527";"622006"
"";"2020-11-30";"13:56:45.242";"5245";"10000";"1542";"597772"
"";"2020-11-30";"13:56:45.344";"5347";"10000";"1540";"613928"
"";"2020-11-30";"13:56:45.444";"5447";"10000";"1541";"573538"
"";"2020-11-30";"13:56:45.545";"5548";"10000";"1540";"597772"
"";"2020-11-30";"13:56:45.645";"5648";"10000";"1526";"573538"
"";"2020-11-30";"13:56:45.747";"5750";"10000";"1543";"589694"
"";"2020-11-30";"13:56:45.847";"5850";"10000";"1536";"613928"
"";"2020-11-30";"13:56:45.949";"5952";"10000";"1526";"549304"
"";"2020-11-30";"13:56:46.050";"6053";"10000";"1526";"605850"
"";"2020-11-30";"13:56:46.150";"6153";"10000";"1511";"622006"
"";"2020-11-30";"13:56:46.251";"6254";"10000";"1515";"573538"
"";"2020-11-30";"13:56:46.352";"6355";"10000";"1535";"638162"
"";"2020-11-30";"13:56:46.453";"6456";"10000";"1528";"613928"
"";"2020-11-30";"13:56:46.554";"6557";"10000";"1543";"613928"
"";"2020-11-30";"13:56:46.655";"6658";"10000";"1553";"613928"
"";"2020-11-30";"13:56:46.756";"6759";"10000";"1546";"597772"
"";"2020-11-30";"13:56:46.856";"6859";"10000";"1536";"605850"
"";"2020-11-30";"13:56:46.956";"6959";"10000";"1537";"581616"
"";"2020-11-30";"13:56:47.058";"7061";"10000";"1532";"597772"
"";"2020-11-30";"13:56:47.159";"7162";"10000";"1543";"597772"
"";"2020-11-30";"13:56:47.259";"7262";"10000";"1540";"541226"
"";"2020-11-30";"13:56:47.360";"7363";"10000";"1532";"613928"
"";"2020-11-30";"13:56:47.461";"7464";"10000";"1530";"589694"
"";"2020-11-30";"13:56:47.562";"7565";"10000";"1523";"573538"
"";"2020-11-30";"13:56:47.662";"7665";"10000";"1537";"605850"
"";"2020-11-30";"13:56:47.763";"7766";"10000";"1542";"597772"
"";"2020-11-30";"13:56:47.862";"7865";"10000";"1536";"613928"
"";"2020-11-30";"13:56:47.963";"7966";"10000";"1521";"589694"
"";"2020-11-30";"13:56:48.064";"8067";"10000";"1509";"581616"
"";"2020-11-30";"13:56:48.165";"8168";"10000";"1515";"605850"
"";"2020-11-30";"13:56:48.265";"8268";"10000";"1520";"549304"
"";"2020-11-30";"13:56:48.366";"8369";"10000";"1511";"589694"
"";"2020-11-30";"13:56:48.467";"8470";"10000";"1505";"589694"
"";"2020-11-30";"13:56:48.568";"8571";"10000";"1502";"541226"
"";"2020-11-30";"13:56:48.668";"8671";"10000";"1501";"630084"
"";"2020-11-30";"13:56:48.769";"8772";"10000";"1500";"581616"
"";"2020-11-30";"13:56:48.869";"8872";"10000";"1500";"557382"
"";"2020-11-30";"13:56:48.971";"8974";"10000";"1500";"581616"
"";"2020-11-30";"13:56:49.071";"9074";"10000";"1515";"565460"
"";"2020-11-30";"13:56:49.172";"9175";"10000";"1507";"613928"
