"Info";"Date";"Time";"TimeStamp";"0,2 - CP_last_pwm";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"System: New System";"2020-11-17";"17:54:00.870";"0";"3000";"3000";"0";"16156"
"Log page: New basic log page (0)";"2020-11-17";"17:54:00.964";"94";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:01.064";"194";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.167";"297";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.267";"397";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.368";"498";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.469";"599";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.569";"699";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:01.671";"801";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.772";"902";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:01.873";"1003";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:01.974";"1104";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:02.075";"1205";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.176";"1306";"3000";"3000";"0";"16156"
"";"2020-11-17";"17:54:02.278";"1408";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.378";"1508";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:02.479";"1609";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.580";"1710";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.681";"1811";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.783";"1913";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.885";"2015";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:02.985";"2115";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:03.087";"2217";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:03.189";"2319";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:03.289";"2419";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:03.391";"2521";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:03.491";"2621";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:03.593";"2723";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:03.693";"2823";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:03.794";"2924";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:03.896";"3026";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:03.996";"3126";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:04.098";"3228";"3000";"3000";"0";"16156"
"";"2020-11-17";"17:54:04.199";"3329";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:04.299";"3429";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:04.400";"3530";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:04.501";"3631";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:04.601";"3731";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:04.703";"3833";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:04.804";"3934";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:04.906";"4036";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:05.007";"4137";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:05.108";"4238";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:05.209";"4339";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:05.310";"4440";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:05.411";"4541";"3000";"3000";"0";"8078"
"";"2020-11-17";"17:54:05.511";"4641";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:05.612";"4742";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:05.713";"4843";"3000";"3000";"0";"0"
"";"2020-11-17";"17:54:05.814";"4944";"3000";"3000";"0";"8078"
